geo,time_period,population_density,hospital_beds,at_risk_of_poverty,low_work_intensity,gdp_current_prices,rd_expenditure,internet_access,tertiary_education
FRJ2,2006,61.6,150.96615600585938,13.375086784362793,8.624918937683105,26400.0,1.356501817703247,80.16576385498047,29.86771011352539
FRJ2,2007,62.3,152.82415771484375,12.887679100036621,8.536117553710938,26600.0,1.3630309104919434,80.21851348876953,30.22254180908203
FRJ2,2008,62.9,154.97509765625,13.246893882751465,8.507781982421875,27100.0,1.3426220417022705,80.57508087158203,29.10232162475586
FRJ2,2009,63.3,154.877197265625,13.32039737701416,8.786484718322754,26700.0,1.3785476684570312,80.6698989868164,29.875530242919922
FRJ2,2010,63.8,151.46,13.15318489074707,9.248403549194336,26700.0,1.3800475597381592,80.9544677734375,30.256959915161133
FRJ2,2011,64.3,151.85,12.492825508117676,9.097614288330078,27800.0,1.3621830940246582,80.92145538330078,30.183591842651367
FRJ2,2012,64.8,152.16,12.272045135498047,8.900914192199707,28400.0,1.4365410804748535,82.2387466430664,29.74365234375
FRJ2,2013,65.4,154.62,12.488729476928711,11.069007873535156,28900.0,1.7221930027008057,82.11734008789062,39.9
FRJ2,2014,65.9,155.19,14.022168159484863,11.266921043395996,29600.0,1.9595811367034912,83.66,41.8
FRJ2,2015,66.3,156.43,14.582566261291504,10.630563735961914,30300.0,1.7171516418457031,83.8,39.9
FRJ2,2016,66.6,158.58,13.963507652282715,10.710746765136719,30700.0,1.7224617004394531,89.86,38.8
FRJ2,2017,67.1,159.78,13.974308967590332,8.903743743896484,31100.0,1.5220065116882324,87.79,38.6
FRJ2,2018,67.5,162.23,13.624917030334473,7.737002372741699,32000.0,1.939207673072815,88.9,44.2
FRJ2,2019,67.8,164.45,14.128411293029785,7.541095733642578,32800.0,2.2765698432922363,88.88,44.6
FRJ2,2020,68.0,166.72,14.25045108795166,7.437797546386719,30500.0,1.9395476579666138,90.79812622070312,43.3
FRJ2,2021,68.5,170.37,13.333759307861328,7.374116897583008,32900.0,4.44,90.94,44.2
FRJ2,2022,69.6,173.7,14.0,7.598677635192871,34300.0,2.484476327896118,88.7,44.3
FRJ2,2023,70.1,201.074462890625,16.4,8.102726936340332,37100.0,2.2751941680908203,93.38,46.3
FRJ2,2024,97.36358642578125,151.3826446533203,14.4999361038208,6.50483512878418,35650.1015625,2.029172658920288,94.24,47.8
FRK,2022,83.20327758789062,155.7923583984375,11.9,5.947122097015381,29580.33984375,1.1884865760803223,92.640625,34.647010803222656
FRK,2023,81.8480224609375,155.7923583984375,13.6,5.6025495529174805,30904.21484375,1.3153783082962036,92.48249816894531,34.69981002807617
FRK1,1990,50.8,128.95816040039062,14.569879531860352,8.459452629089355,22477.763671875,0.8089758157730103,77.86583709716797,31.21407699584961
FRK1,1991,50.7,128.95816040039062,14.569879531860352,8.459452629089355,22354.46875,0.8089758157730103,77.86583709716797,31.21407699584961
FRK1,1992,50.6,128.95816040039062,14.569879531860352,8.459452629089355,22354.46875,0.8089758157730103,77.86583709716797,31.21407699584961
FRK1,1993,50.6,128.95816040039062,14.569879531860352,8.459452629089355,22354.46875,0.8089758157730103,77.86583709716797,31.21407699584961
